"name","samaksa","tips","statuss","vertejums","klase","garums","symb","latitude","longitude","desc","id","whatjson","apraksts","datums"
"Adamovas taka","bezmaksas","taka","parbaudits","standarta","vidēja",1.8,"Trail Head",55.892502,27.134514,"Takas konfigurācija ir sarežģīta – tā met cilpas, virzās gan uz augšu, gan uz leju. Pārsvarā laipas un tiltiņi, nogāžu mežs. Paveras skats uz Krāslavu un Daugavas ieleju. ","adamovas-taka","adamovas","true","08/10/2014"
"Aizvīķu meža parks","bezmaksas","parks","neparbaudits","standarta","vidēja",,"Park",56.332363,21.722757,"Dodies pastaigā pa celiņiem, kur sastapsi koka skulpūras - teiksmu tēlus, kuru klātbūtne leģendām un noslēpumiem apvīto meža parku vērš vēl brīnumaināku.","none","none",,
"Akmeņkalnu Velnapēda","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.420349,22.082942,"Atpūtas vieta pie dižakmens","none","none",,
"Akmeņupes dabas taka","bezmaksas","taka","parbaudits","standarta","vidēja",2,"Trail Head",56.06705,26.14555,"Sen veidota taka, vietām novecojusi, vietām atjaunota – uzstādīti jauni galdiņi. Taka ved gar jauku upīti, pa samērā tumšu mežu. Norāžu nav, tāpēc izdevās apmaldīties vietā, kur taka izved uz ceļa. Pa ceļam ir avotiņš. ","akmenupes-taka","none","true","08/09/2014"
"Amatas ģeotaka","bezmaksas","taka","neparbaudits","standarta","grūta",12,"Trail Head",57.22222,25.23488,"Amatas ielejas apmeklētājiem iespējams šeit 12 km garā (~6h ilgā) pārgājienā iepazīties ar devona perioda nogulumiežiem, kas veidojušies senajā devona jūrā. Paaugstinātas grūtības taka, jo vietām ir aizaugusi, un prasa fizisku piepūli, t.i. piemērota tikai lieliem bērniem vai pieaugušajiem ar sagatavotību. Taka sākas pie Melturu tilta un ved līdz piknika/atpūtas vietai pie Veclauču mājām.","none","none",,
"Ančupānu meža parks","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.534635,27.315968,"Netālu no Rēzeknes atradīsi lielisku atpūtas vietu ar nelielu dīķi, āra kamīnu un lapeni. Ideāla vieta nelielam piknikam draugu lokā.","none","none",,
"Ančupānu tornis","bezmaksas","tornis","neparbaudits","standarta","vidēja",,"Oil Field",56.53859,27.315228,"Skatu tornis no kura paveras skats uz Rēzeknes pilsētu un tuvāko apkārtni","none","none",,
"Bumbu kalna tornis","bezmaksas","tornis","parbaudits","standarta","vidēja",,"Oil Field",57.0039713,24.0201817,"Bumbu kalnā pie piemiņas vietas nesen uzstādīts augsts koka skatu tornis. Uz torni iespējams nākt gan no ceļa, gan pa koka kāpnēm no piemiņas vietas puses. Tornis skaitās uguns novērošanas tornis, taču atvērts apmeklētājiem. Pašā augšā ir apmeklētājiem nepieejams novērotāja namiņš, taču zem tā ir plaša skatu platforma, skats sniedzas tālu, redzama jūra, Rīgas centrs, pārdaugava","bumbu","none",,"29/08/2015"
"Andrupenes purva taka","bezmaksas","taka","neparbaudits","standarta","viegla",0.75,"Trail Head",56.184355671,27.3929929733,"Rāznas nacionālā parka purvu krāšņumu un to dabas daudzveidību vislabāk iepazīt Andrupenes purvā, kur ierīkota dabas taka. Takas sākums Andrupenes ciemā, muzeja 'Andrupenes lauku sēta' teritorijā","none","none",,
"Atpūtas vieta","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.75948,26.838831,"Ezera krasts","none","none",,
"Atpūtas vieta 'Akmens'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.791289,27.180729,"Atpūties koka lapenē ar iekārtotu ugunskura vietu un kamīnu","none","none",,
"Atpūtas vieta 'Banksa priedes'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.694115,26.738502,"Dabas parkā pie Riča ezera atpūtas un peldvieta ar telšu celšanas iespējām, pierobežas zona, ar pasi","none","none",,
"Atpūtas vieta 'Dumpīši'","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",56.732802,21.995051,"Pabriesmīga vieta blakus daudzstāvu mājai. Izņēmām -- Atpūtas vieta pie ūdenstilpnes","none","none",,
"Atpūtas vieta 'Iežuleja'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.639994,25.978786,"Atpūtas vieta pie Gaujas ar lapeni.","none","none",,
"Atpūtas vieta 'Irbes ieteka'","bezmaksas","pikniks","parbaudits","rekomendets","vidēja",,"Campground",57.64437,22.149445,"Daudz atpūtas un telšu vietu pie Irbes ietekas jūrā. Vietām viegli piebraukt, tās ir izvietotas nomaļus viena no otras, katrā vietā ir galds ar soliem, ugunskura vieta. Ik pa laikam tualetes. Vietu ir 4-5, vietas daudz. Mēdz izcelties laivotāji, taču reti kāds no tiem nakšņo. Kopumā jauka vieta ar skaistu skatu un varam tikai rekomendēt. Būtu patīkami, ja LVM nomainītu pavecos galdus.","atputa-irbes-ieteka","none","true","22/08/2015"
"Atpūtas vieta 'Karogu karjers'","bezmaksas","pikniks","parbaudits","rekomendēts","vidēja",,"Campground",57.826578,24.786158,"Pastaigu parks, taka uz Karogu alām, dabas taka uz Dzelzāmura dižakmeni. Skaista vieta, daudz atdalītu atpūtas vietu ap ūdeni, uz salas. Tīra tualete, patīkama un saulaina vieta","atputa-karogu","none",,"02/08/2015"
"Atpūtas vieta 'Ķēķis'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.642008,26.861485,"Atpūties koka lapenē ar iekārtotu ugunskura vietu","none","none",,
"Atpūtas vieta 'Mežmuiža'","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",56.545922,22.639181,"Vieta iznīcināta un aizaugusi. Daļa no aprīkojuma peld ezerā. Nav omulīgi. Atpūtas vieta Svētaiņu ezera krastā","none","none",,
"Atpūtas vieta 'Papardes stacija'","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.306569,26.998338,"Izskatās, ka priekšā sēta un par nakšņošanu jārunā ar saimniekiem (Agrāk: Atpūtas vieta pie šaursliežu dzelzceļa līnijas stacijas)","none","none",,"07/19/2015"
"Atpūtas vieta 'Pērkules krauja'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.691979,26.744766,"Dabas parkā pie Riča ezrea atpūtas un peldvieta, ainavisks skats pāri ezeram uz Lietuvu un Baltkrieviju","none","none",,
"Atpūtas vieta 'Pie dīķa'","bezmaksas","pikniks","parbaudits","rekomendets","vidēja",,"Campground",57.278775,27.612895,"Dīķa krastā atpūties koka lapenē ar iekārtotu ugunskura vietu. Negaidītā vietā ļoti skaista atpūtas vieta ar vairākiem galdiem zem nojumēm, jauku dīķīti peldei. Viena no labākajām kas redzēta. Nav jauna, taču nakšņošanai ļoti laba vieta.","ziguri-dikis","none",,"07/19/2015"
"Atpūtas vieta 'Priežu mežs'","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.188861,21.131909,"Atpūtas vieta mežā, ir pamatīgs, nesen uzbūvēts galds ar nojumi, ugunskura vieta un citas ērtības","atputa-priezu","none","true","08/30/2014"
"Atpūtas vieta 'Pūcīte'","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",56.424901,21.171525,"Atpūtas vieta Otaņķes upes krastā, no ceļa uz vietu ir norāde. Atrodas klusā vietā pie upes, ir divi galdi, tīra tualete, nojume.","none","none",,
"Atpūtas vieta 'Restorāns'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",56.656299,26.884861,"Atpūties koka lapenē ar aprīkotu ugunskura vietu, ņem līdzi draugus - vietas pietiks visiem","none","none",,
"Atpūtas vieta 'Rojnieki'","bezmaksas","pikniks","parbaudits","standarta","vidēja",,"Campground",57.610324,22.081704,"Laivotāju vieta pie Irbes upes. Ir plašs laukums, palietoti galdi. Satikām makšņerniekus, šķiet vieta ir populāra. Nekas īpaši jauks","atputa-rojnieki","none",,"22/08/2015"
"Atpūtas vieta 'Sēnīte'","bezmaksas","pikniks","slikts","standarta","vidēja",,"Campground",57.301114,27.647194,"Aizaudzis un satrūdējis. Tik pat labi var nakšņot jebkurā priežu mežā. (Agrāk: Atpūties koka lapenē ar iekārtotu ugunskura vietu)","none","none",,
"Atpūtas vieta 'Šilovka'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",55.832963,27.240711,"AAA ainaviska vieta pie Šilovkas ezera - atpūtas un peldvieta. Braucot nepieciešama pase - pierobežas zona","none","none",,
"Atpūtas vieta 'Šūpoles'","bezmaksas","pikniks","neparbaudits","standarta","vidēja",,"Campground",57.280554,26.666347,"Atpūtas vieta pie Gaujas. Ir šūpoles.","none","none",,
